"","name","author","create_time","introduction","play_count","collect_count","share_count","comment_count","topics","fans","grade","playlists","length_name","english_name","name_language","name_style","name_scene","name_instruments","name_feeling","name_praise","name_location","name_古风","name_BGM","name_经典","name_爵士","name_世界","name_精选","name_节奏","name_女声","name_欧美","name_粤语","name_民谣","name_东方","name_amp","name_中国","name_那些","length_intro","intro_歌单","intro_音乐","intro_歌曲","intro_喜欢","intro_封面","intro_专辑","intro_歌手","intro_风格","intro_quot","intro_amp","intro_更新","intro_旋律","intro_收录","intro_节奏","intro_好听","intro_电音","欧美","流行","华语","电子","ACG","日语","古风","轻音乐","经典","器乐","治愈","兴奋","游戏","独立","另类","影视原声","民族","怀旧","粤语","摇滚","number_songs","number_hot_singers","talent","verification","musician","无","达人","认证","音乐人","cluster"
"11","[摇滚乐队] 定格在激情四溢的现场","下一颗巧克力",1455062400,"<b>介绍：</b>定格在激情四溢的摇滚现场<br>==============================<br>.<br>歌单收录了欧美摇滚乐队的现场演唱的经典歌曲，共计30支乐队。<br>对于录音室版，Live版更显得珍贵，因为正如“Live”，现场版是具有生命的，激情且澎湃，和无数的现场观众相关，情绪在那一刻爆发。<br>最爱乐队的最美时刻定格在那激情四溢的现场。<br>.<br>歌单封面：手稿乐队（The Script）<br>==============================<br>",757614,18486,346,267,"[""欧美"",""摇滚"",""兴奋""]",26960,10,54,17,"否","否","是","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",257,"是","否","是","否","是","否","否","否","否","否","否","否","是","否","否","否","是","否","否","否","否","否","否","否","否","否","否","是","否","否","否","否","否","否","否","是",30,5,"是","否","否","否","是","否","否",3
"12","《你會哭的 1》","橘宫美医生",1482710400,"<b>介绍：</b>I hate to see you go<br>I won't forget now<br>",3118051,89824,719,1049,"[""欧美"",""孤独""]",8043,9,23,8,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",56,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",800,30,"否","否","否","是","否","否","否",3
"13","「 大家嗨，才是真的嗨 ！」","百变女皇丶Coco",1445212800,"<b>介绍：</b>有些人我都懒得去反驳你，不喜欢可以不听，非弄的跟我强迫你听的一样。<br>",658403,13489,152,102,"[""电子"",""舞曲"",""酒吧""]",5951,8,11,14,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",47,"否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",76,4,"否","否","是","否","否","否","是",3
"14","「 幻 」? ②","loving木",1422403200,"<b>介绍：</b>欢迎乘坐本次航班 ? 祝您旅途愉快<br>????????????????<br>下次航班请搭乘 「 幻 」? ③<br><br>",404072,10572,176,119,"[""欧美"",""电子"",""另类/独立""]",4165,9,9,8,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",75,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","是","否","否","是","否","否","否","否","否","否","否","否","否","是","是","否","否","否","否","否",300,6,"否","否","否","是","否","否","否",3
"15","「 幻 」? ③","loving木",1426636800,"<b>介绍：</b>欢迎乘坐本次航班 ? 祝您旅途愉快<br>????????????????<br>下次航班请搭乘 「 幻 」? ④<br><br>",536056,13614,240,109,"[""欧美"",""电子"",""另类/独立""]",4165,9,9,8,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",75,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","是","否","否","是","否","否","否","否","否","否","否","否","否","是","是","否","否","否","否","否",299,7,"否","否","否","是","否","否","否",3
"16","「 怦然初夏，邂逅一场清凉 」","July-C_",1487116800,"<b>介绍：</b>春天，<br>将要挥手作别，离我们而去。<br>夏天，<br>她已静悄悄地，携清风来临。<br><br>夏天，给我们，<br>不只有闷热干燥的刻板印象，<br>也有很多美好等待我们分享。<br>栀子花开的季节，鸟语蝉鸣。<br>群星璀璨的夏夜，萤火点点。<br><br>走吧，<br>找个时间，<br>带上你的相机，<br>与你心仪的她（他），<br>记录美好，跟将到来的夏天撞个满怀。<br><br>早晨的芬芳馥郁花园，<br>午后的宁静丛林山涧，<br>傍晚的携手漫步海边。<br>怦然初夏，邂逅一场清凉。<br>",1927220,34038,452,234,"[""欧美"",""流行"",""清新""]",2282,7,25,15,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",269,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","是","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",90,5,"是","否","否","否","是","否","否",3
"17","「3D环绕立体音」电音环绕vsACG双声道","爱纯音的栗山未来",1492905600,"<b>介绍：</b>戴上耳机听才有效果呢，请你听，请你晕?_?<br><br>第一首shelter是我最喜欢的歌…推荐MV<br><br>????????????????????????<br><br>本歌单分为三部分:<br><br>①.3D环绕 17~65<br><br>②.双声道 66~155<br><br>③.立体音 1~16 &amp; 156~294<br><br>耳机福利 自行取用<br><br>????????????????????????<br><br>(封面是shelter女主凛 P站id:4456575 高清原图在动态里)<br><br>谢谢收藏和关注！<br><br>持续更新，喜欢可以资词一下<br>",881267,25134,170,143,"[""ACG"",""电子"",""轻音乐""]",1133,7,53,21,"是","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",317,"是","否","否","是","是","否","否","否","否","是","是","否","否","否","否","否","否","否","否","是","是","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否",294,19,"否","否","否","是","否","否","否",3
"18","「超燃史诗 」一燃到底 全程高能","单音系",1474070400,"<b>介绍：</b>史上最燃史诗！！！<br><br>以下为个人史诗歌单：<br><br>第一期 「震撼纯音＆史诗神级BGM」:?http://music.163.com/playlist/379014204/122430727/?<br><br>第二期「超燃史诗」这震撼足以让你彻底沦陷」:?http://music.163.com/playlist/394759771/122430727/?<br><br>第三期 「钢琴史诗」这美妙与震撼足以让你彻底沦陷」:?http://music.163.com/playlist/396560343/122430727/?<br><br>第五期「震撼史诗音乐里的磅礴男声」:?http://music.163.com/playlist/484421155/122430727/?<br><br>第六期 「震撼史诗音乐里的悲壮女声」:?http://music.163.com/playlist/442344251/122430727/?<br>",3607083,96103,1064,520,"[""影视原声"",""游戏"",""电子""]",48229,9,42,16,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",445,"是","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","是","否","否","否","否","否","否","否","否","是","否","否","是","否","否","否","否",22,8,"是","否","否","否","是","否","否",3
"19","「超燃史诗」这震撼足以让你彻底沦陷","单音系",1464998400,"<b>介绍：</b>史诗 ＋人声吟唱 (呐喊)<br><br>从开始震撼到最后<br><br>以下为个人史诗歌单：<br><br>第一期 「震撼纯音＆史诗神级BGM」:?http://music.163.com/playlist/379014204/122430727/?<br><br>第三期 「钢琴史诗」这美妙与震撼足以让你彻底沦陷」:?http://music.163.com/playlist/396560343/122430727/?<br><br>第四期 「「超燃史诗 」一燃到底 全程高能」:?http://music.163.com/playlist/466269402/122430727/?<br><br>第五期「震撼史诗音乐里的磅礴男声」:?http://music.163.com/playlist/484421155/122430727/?<br><br>第六期 「震撼史诗音乐里的悲壮女声」:?http://music.163.com/playlist/442344251/122430727/?<br>",1394119,35056,404,257,"[""影视原声"",""游戏"",""电子""]",48229,9,42,17,"否","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",466,"是","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","是","否","否","否","否","否","否","否","否","是","否","否","是","否","否","否","否",65,29,"是","否","否","否","是","否","否",3
"20","「词作精选」那些绝色古风词","-穷尽诗家笔-",1495756800,"<b>介绍：</b>歌单选曲比较主观，收录的曲风比较广，有婉约，有豪迈，有悲伤，有欢快。不喜欢过于华丽的词，能打动人心就好<br>歌单持续更新中……<br><br>缺歌：《归矣》《戏侧》《又清明》《浮云歌》《林下有琴》《花满楼》白白馒头版 《破竹》《岁岁》《春色》《杪夏》《当时清风在》《十年江别怀有意》《逆水祭·烟花烫》《傲雪清风》《一念江湖》《风月无双》《乌青毓秀》《载酒歌》《陌上花暖》《青门引》《檐前秋》《踏浩歌》《独钓寒江》《伯虎》蛙叔版 《家乡》烟花版 《流水浮灯》<br><br>封面画师：眠狼<br>",1273503,38839,257,191,"[""华语"",""古风"",""夜晚""]",18482,7,26,13,"否","否","是","否","否","否","是","否","是","否","否","否","否","是","否","否","否","否","否","否","否","否","是",258,"是","否","否","是","是","否","否","否","否","否","是","否","是","否","否","否","否","否","是","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否",131,2,"是","否","否","否","是","否","否",3
"21","「高考季」2017一起听歌记单词吧","-Huberto-",1494633600,"<b>介绍：</b>A-Z按全国卷单词总汇排序<br>",4859683,143024,1790,3424,"[""欧美"",""流行"",""学习""]",4299,8,42,17,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",27,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","是","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",520,69,"是","否","否","否","是","否","否",3
"22","「攻声集」群攻并起逐天下","-穷尽诗家笔-",1494374400,"<b>介绍：</b>收录我心目中的总攻大大_(:з」∠)_<br><br>封面画师：伊吹五月<br>",470016,19578,199,163,"[""华语"",""古风"",""网络歌曲""]",18482,7,26,12,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",50,"否","否","否","否","是","否","否","否","否","否","否","否","是","否","否","否","否","否","是","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否",68,0,"是","否","否","否","是","否","否",3
"23","「古风」人间有味是清欢 未妨惆怅是清狂","mayuko然",1495497600,"<b>介绍：</b>细雨斜风作晓寒<br>淡烟疏柳媚晴滩<br>入淮清洛渐漫漫<br><br>雪沫乳花浮午盏<br>蓼茸蒿笋试春盘<br>人间有味是清欢<br><br>重帏深下莫愁堂<br>卧后清宵细细长<br>神女生涯原是梦<br>小姑居处本无郎<br>风波不信菱枝弱<br>月露谁教桂叶香<br>直道相思了无益<br>未妨惆怅是清狂<br><br>封面画师：微博ID眠狼<br>",2308648,59527,640,204,"[""华语"",""古风"",""夜晚""]",77326,9,37,19,"否","否","是","否","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否",191,"否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","是","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否",68,3,"是","否","否","否","是","否","否",3
"24","「古风」听歌解暑，慵懒度夏","-穷尽诗家笔-",1493942400,"<b>介绍：</b>清歌一曲，消了一场炎热<br><br>_(:з」∠)_夏天就应该听着音乐，吃着西瓜，哪里凉快哪里呆去(′▽｀)ノ?<br><br>一一一一一一一一一一一<br>记忆里最漫长的就是夏天<br>在夏日的树荫下，度过了许多欢快的时光<br>请不要一味苛责它的炎热<br>耐得酷暑，方才更能体会一丝清凉的可贵<br><br>封面画师：伊吹五月<br><br>缺歌：《杪夏》《路逢松下翁》《清风解语》<br>",1142673,37870,439,278,"[""华语"",""古风"",""放松""]",18482,7,26,13,"否","否","是","否","否","是","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否",209,"否","是","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","是","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否",52,0,"是","否","否","否","是","否","否",3
"25","「古风恋曲」三千世界鸦杀尽。","此生只愿醉太白",1481932800,"<b>介绍：</b>三千世界鸦杀尽，<br>与君共寝到天明。<br>九尺二间掌灯过，<br>唇红犹附火吹竹。<br><br>出自高杉晋作都都逸·三千贺歌。<br>“三千世界鸦杀尽”，其意大致为：古时常认为太阳就是金鸦，此种说法自李唐而盛，始处已不可考。其表面意思就是要将世界上的太阳统统除去。那么没有太阳就不会天亮。故可以“与君共寝到天明”。直至永远。<br>而其深意为：古时有符咒曰“牛玉宝音”，最初用于恋人之间互作宣誓，后来在熊野神社中，才有了“若有违信，待鸦之三羽落尽之际，则是违信之人吐血身亡之时”的寓意。也就是说，是『我从你绝对不会背叛吧』的决心展示。<br>“你绝对不会背叛我吧？背叛我要被三千鸦羽啄眼而亡哦~” 略有点小诡异呢【笑】<br>独有的祭礼的风情。<br><br>1.卷珠帘——“静画红妆等谁归”<br>记得来时春未暮，执手攀花，袖染花梢露。<br>暗卜春心共花语，争寻双朵争先去。<br>多情因甚相辜负，轻拆轻离，欲向谁分诉。<br>泪湿海棠花枝处，东君空把奴分付。<br><br>2.琴师—— “月光常常常常到故里 ”<br>君恩无常，翻手为云覆手为雨，宫闱往事皆如浮生一梦，醒来时除却手头这把桐木琴，空荡如许。卧病时再没有谁会喂我一勺热粥，下雨时再没有谁会冒冒失失闯进我的房间，然而岁月依旧如流光无声淌过。<br><br>3.不见长安——“湿了繁华沧桑”<br>你是否听过那个“日近长安远”的故事 太阳和长安 哪一个离我们更远 是太阳。和我们隔着1.471亿千米 可是我每天都能看到太阳 却看不到长安 举目见日 不见长安 我每天睁开眼就能看见阳光 却不知你醒来的模样 。<br><br>4.牵丝戏——“你一牵我舞如飞”<br>余少能视鬼，尝遇一偃师…述其生之悲，且言且泣，余温言释之，恳其奏盘铃乐，作牵丝傀儡戏，演剧于三尺红绵之上，度曲咿嘤，木偶顾盼神飞，虽妆绘悲容而婉媚绝伦。曲终，翁抱持木偶，稍作欢容，俄顷恨怒，曰：平生落魄，皆傀儡误之，天寒，冬衣难置，一贫至此，不如焚。遂忿然投偶入火。吾止而未及，跌足叹惋。忽见火中木偶婉转而起，肃拜揖别，姿若生人，绘面泪痕宛然，一笑迸散，没于篝焰。 火至天明方熄。 翁顿悟，掩面嚎啕，曰：暖矣，孤矣<br><br>5.唐三彩——“ 霓裳羽衣舞曼柔”<br>“古来盛世唯李唐而。”<br>唐三彩，乃唐代三彩釉陶器珍品，盛行于唐，因其色三彩，故称之唐三彩。<br>“呐，给你，唐三彩”<br>“真的吗？”小女孩大大的笑容，漫过了半壁江山，酿成了一整个盛唐。<br><br>篇幅所限，每首歌都有个细细品味的小故事。它们，也许就是你心中爱情的故事<br>",2153085,57414,289,307,"[""华语"",""古风"",""思念""]",19426,8,26,14,"否","否","是","否","否","否","否","是","是","否","否","否","是","否","否","否","否","否","否","否","否","否","否",1109,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","是","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否",49,2,"是","否","是","否","是","否","是",3
"26","「古风女声」细风掠过后落花微凉","__BeginAgain__",1434153600,"<b>介绍：</b>「持续更新」<br>",535712,14968,111,80,"[""华语"",""古风""]",16867,8,41,15,"否","否","是","否","否","否","否","否","是","否","否","否","否","否","否","是","否","否","否","否","否","否","否",20,"否","否","否","否","否","否","否","否","否","否","是","否","否","否","否","否","否","否","是","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否",79,0,"是","否","否","否","是","否","否",3
"27","「古风戏腔」把戏唱至词穷 能有几人听到终","mayuko然",1485734400,"<b>介绍：</b>陈年旧信，眉笔轻描，镜中人依稀往日眉眼。花腔应和旧时陈曲，衣香鬓影可闻几声叹息。若白驹过隙太匆匆，愿听小楼西风又一曲。曾记否，台上人台下戏，妆浓衣重，婉转几时。有人说，听戏人听尽戏中悲欢，唱戏人唱出心中爱恨。殊不知软语温存，失了谁的心魂。<br><br>岁月沧桑，时光昏黄，当初唱着戏文妆半掩面的人们在记忆中沉睡，唯有妖娆的戏腔几经轮回仍未老去，今朝不见旧日戏台，眼角含情不见昔年旧人，我若把戏唱至词穷，能有几人听到曲终。<br>",499067,13251,99,62,"[""华语"",""古风"",""民族""]",77326,9,37,20,"否","否","是","否","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否",225,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","是","否","否","否","是","否","否","否","否","否","否","否","否","否","是","否","否","否",177,7,"是","否","否","否","是","否","否",3
"28","「古风系」浮生未歇，韶华倾负。","颜郁",1401840000,"<b>介绍：</b>浮生未歇，韶华倾负。人生如梦如幻，你在门外听我为你练这支曲，我为你备一件蓑衣。你来，我们并肩笑看风雨，你走，我倾尽天下等你归来厮守余生。<br>",504280,24020,88,53,"[""华语"",""古风"",""治愈""]",559,7,17,15,"否","否","是","否","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否",82,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","是","否","否","否","是","否","否","否","是","否","否","否","否","否","否","否","否","否",94,2,"是","否","否","否","是","否","否",3
